#{"CCD_temperature": "-88", "FELP": "5", "FELRR": "0.75", "FEL_lambda": "600", "FEL_pulses": 16, "NIRP": "138.595", "NIR_lambda": "764.0", "Sample_Temp": "16", "addenda": [0, "FEL_power_sweep"], "bg_file_name": "testBG29", "center_lambda": 748.0, "dark_region": null, "exposure": 20.0, "gain": 60, "grating": 2, "series": "5,764.0", "slits": "40", "subtrahenda": ["testBG"], "y_max": 85, "y_min": 25}
#Trying to do FEL power dep
Wavelength,Signal
nm,arb. u.
736.045780,56.000000
736.060819,60.000000
736.075858,64.000000
736.090897,73.000000
736.105936,53.000000
736.120975,62.000000
736.136013,59.000000
736.151051,38.000000
736.166089,49.000000
736.181127,57.000000
736.196165,54.000000
736.211202,60.000000
736.226240,70.000000
736.241277,73.000000
736.256314,47.000000
736.271350,70.000000
736.286387,53.000000
736.301423,27.000000
736.316459,38.000000
736.331495,17.000000
736.346531,51.000000
736.361567,42.000000
736.376602,65.000000
736.391637,33.000000
736.406672,64.000000
736.421707,66.000000
736.436742,83.000000
736.451776,74.000000
736.466810,47.000000
736.481845,69.000000
736.496878,64.000000
736.511912,49.000000
736.526946,35.000000
736.541979,50.000000
736.557012,54.000000
736.572045,32.000000
736.587078,37.000000
736.602110,46.000000
736.617142,59.000000
736.632175,48.000000
736.647207,73.000000
736.662238,30.000000
736.677270,51.000000
736.692301,42.000000
736.707332,53.000000
736.722363,42.000000
736.737394,26.000000
736.752425,52.000000
736.767455,78.000000
736.782486,21.000000
736.797516,78.000000
736.812546,50.000000
736.827575,77.000000
736.842605,20.000000
736.857634,62.000000
736.872663,80.000000
736.887692,52.000000
736.902721,43.000000
736.917749,28.000000
736.932778,49.000000
736.947806,63.000000
736.962834,41.000000
736.977861,61.000000
736.992889,36.000000
737.007916,83.000000
737.022944,37.000000
737.037971,12.000000
737.052997,70.000000
737.068024,73.000000
737.083050,55.000000
737.098077,36.000000
737.113103,48.000000
737.128129,46.000000
737.143154,49.000000
737.158180,38.000000
737.173205,76.000000
737.188230,104.000000
737.203255,54.000000
737.218280,48.000000
737.233304,23.000000
737.248328,74.000000
737.263353,57.000000
737.278377,99.000000
737.293400,55.000000
737.308424,54.000000
737.323447,29.000000
737.338470,62.000000
737.353493,60.000000
737.368516,49.000000
737.383539,64.000000
737.398561,31.000000
737.413583,23.000000
737.428605,69.000000
737.443627,68.000000
737.458649,61.000000
737.473670,47.000000
737.488692,75.000000
737.503713,61.000000
737.518734,80.000000
737.533754,30.000000
737.548775,75.000000
737.563795,75.000000
737.578815,54.000000
737.593835,71.000000
737.608855,53.000000
737.623874,54.000000
737.638894,70.000000
737.653913,72.000000
737.668932,5.000000
737.683951,46.000000
737.698969,42.000000
737.713987,45.000000
737.729006,82.000000
737.744024,93.000000
737.759041,83.000000
737.774059,51.000000
737.789077,50.000000
737.804094,37.000000
737.819111,73.000000
737.834128,58.000000
737.849144,44.000000
737.864161,42.000000
737.879177,35.000000
737.894193,5.000000
737.909209,59.000000
737.924225,41.000000
737.939240,57.000000
737.954255,39.000000
737.969271,46.000000
737.984286,67.000000
737.999300,68.000000
738.014315,55.000000
738.029329,51.000000
738.044343,67.000000
738.059357,64.000000
738.074371,74.000000
738.089385,32.000000
738.104398,48.000000
738.119411,76.000000
738.134424,20.000000
738.149437,80.000000
738.164450,72.000000
738.179462,83.000000
738.194474,66.000000
738.209486,36.000000
738.224498,67.000000
738.239510,56.000000
738.254521,54.000000
738.269532,44.000000
738.284544,32.000000
738.299554,37.000000
738.314565,56.000000
738.329576,85.000000
738.344586,29.000000
738.359596,40.000000
738.374606,37.000000
738.389616,69.000000
738.404625,79.000000
738.419634,72.000000
738.434644,65.000000
738.449653,57.000000
738.464661,77.000000
738.479670,69.000000
738.494678,47.000000
738.509686,48.000000
738.524694,40.000000
738.539702,74.000000
738.554710,78.000000
738.569717,76.000000
738.584724,71.000000
738.599731,40.000000
738.614738,35.000000
738.629745,36.000000
738.644751,44.000000
738.659758,60.000000
738.674764,55.000000
738.689770,47.000000
738.704775,40.000000
738.719781,76.000000
738.734786,77.000000
738.749791,84.000000
738.764796,37.000000
738.779801,56.000000
738.794805,46.000000
738.809809,63.000000
738.824814,65.000000
738.839817,65.000000
738.854821,38.000000
738.869825,64.000000
738.884828,68.000000
738.899831,85.000000
738.914834,25.000000
738.929837,36.000000
738.944839,46.000000
738.959842,68.000000
738.974844,51.000000
738.989846,74.000000
739.004848,41.000000
739.019849,41.000000
739.034851,51.000000
739.049852,58.000000
739.064853,86.000000
739.079854,47.000000
739.094855,59.000000
739.109855,74.000000
739.124855,54.000000
739.139855,78.000000
739.154855,59.000000
739.169855,41.000000
739.184854,41.000000
739.199854,68.000000
739.214853,75.000000
739.229851,27.000000
739.244850,55.000000
739.259849,45.000000
739.274847,61.000000
739.289845,93.000000
739.304843,52.000000
739.319841,44.000000
739.334838,33.000000
739.349836,57.000000
739.364833,45.000000
739.379830,45.000000
739.394826,61.000000
739.409823,17.000000
739.424819,60.000000
739.439815,78.000000
739.454811,68.000000
739.469807,49.000000
739.484803,73.000000
739.499798,74.000000
739.514793,57.000000
739.529788,54.000000
739.544783,78.000000
739.559778,65.000000
739.574772,47.000000
739.589766,69.000000
739.604760,100.000000
739.619754,56.000000
739.634748,57.000000
739.649741,47.000000
739.664735,71.000000
739.679728,36.000000
739.694721,75.000000
739.709713,45.000000
739.724706,69.000000
739.739698,49.000000
739.754690,55.000000
739.769682,44.000000
739.784674,61.000000
739.799665,86.000000
739.814656,55.000000
739.829647,45.000000
739.844638,48.000000
739.859629,68.000000
739.874620,86.000000
739.889610,62.000000
739.904600,66.000000
739.919590,62.000000
739.934580,76.000000
739.949569,65.000000
739.964559,66.000000
739.979548,28.000000
739.994537,72.000000
740.009526,53.000000
740.024514,89.000000
740.039502,88.000000
740.054491,53.000000
740.069479,38.000000
740.084466,58.000000
740.099454,64.000000
740.114441,69.000000
740.129429,91.000000
740.144416,23.000000
740.159402,61.000000
740.174389,27.000000
740.189375,79.000000
740.204362,61.000000
740.219348,51.000000
740.234334,71.000000
740.249319,49.000000
740.264305,54.000000
740.279290,53.000000
740.294275,51.000000
740.309260,31.000000
740.324244,41.000000
740.339229,78.000000
740.354213,77.000000
740.369197,55.000000
740.384181,45.000000
740.399165,48.000000
740.414148,34.000000
740.429132,71.000000
740.444115,65.000000
740.459098,55.000000
740.474080,35.000000
740.489063,43.000000
740.504045,61.000000
740.519027,51.000000
740.534009,72.000000
740.548991,61.000000
740.563972,65.000000
740.578954,82.000000
740.593935,89.000000
740.608916,130.000000
740.623897,137.000000
740.638877,64.000000
740.653857,103.000000
740.668838,69.000000
740.683818,46.000000
740.698797,65.000000
740.713777,70.000000
740.728756,54.000000
740.743735,52.000000
740.758714,92.000000
740.773693,80.000000
740.788672,32.000000
740.803650,25.000000
740.818628,84.000000
740.833606,63.000000
740.848584,49.000000
740.863562,29.000000
740.878539,41.000000
740.893516,42.000000
740.908493,74.000000
740.923470,80.000000
740.938447,50.000000
740.953423,35.000000
740.968399,80.000000
740.983376,52.000000
740.998351,92.000000
741.013327,41.000000
741.028302,54.000000
741.043278,54.000000
741.058253,37.000000
741.073228,55.000000
741.088202,27.000000
741.103177,54.000000
741.118151,51.000000
741.133125,52.000000
741.148099,65.000000
741.163073,50.000000
741.178046,59.000000
741.193019,68.000000
741.207992,80.000000
741.222965,42.000000
741.237938,68.000000
741.252910,46.000000
741.267883,81.000000
741.282855,29.000000
741.297827,54.000000
741.312798,73.000000
741.327770,61.000000
741.342741,35.000000
741.357712,24.000000
741.372683,76.000000
741.387654,63.000000
741.402625,33.000000
741.417595,45.000000
741.432565,64.000000
741.447535,51.000000
741.462505,22.000000
741.477474,120.000000
741.492444,19.000000
741.507413,48.000000
741.522382,73.000000
741.537350,34.000000
741.552319,62.000000
741.567287,39.000000
741.582255,68.000000
741.597223,61.000000
741.612191,73.000000
741.627159,52.000000
741.642126,84.000000
741.657093,95.000000
741.672060,46.000000
741.687027,52.000000
741.701994,44.000000
741.716960,67.000000
741.731926,53.000000
741.746892,68.000000
741.761858,62.000000
741.776824,88.000000
741.791789,45.000000
741.806754,70.000000
741.821719,88.000000
741.836684,53.000000
741.851648,51.000000
741.866613,31.000000
741.881577,81.000000
741.896541,73.000000
741.911505,66.000000
741.926469,51.000000
741.941432,52.000000
741.956395,91.000000
741.971358,72.000000
741.986321,63.000000
742.001284,72.000000
742.016246,31.000000
742.031208,59.000000
742.046170,67.000000
742.061132,36.000000
742.076094,70.000000
742.091055,67.000000
742.106016,73.000000
742.120977,30.000000
742.135938,69.000000
742.150899,61.000000
742.165859,93.000000
742.180820,37.000000
742.195780,40.000000
742.210740,61.000000
742.225699,47.000000
742.240659,37.000000
742.255618,29.000000
742.270577,70.000000
742.285536,64.000000
742.300494,90.000000
742.315453,78.000000
742.330411,64.000000
742.345369,38.000000
742.360327,54.000000
742.375285,42.000000
742.390242,49.000000
742.405199,62.000000
742.420157,34.000000
742.435113,51.000000
742.450070,74.000000
742.465027,67.000000
742.479983,58.000000
742.494939,39.000000
742.509895,64.000000
742.524850,74.000000
742.539806,70.000000
742.554761,63.000000
742.569716,85.000000
742.584671,32.000000
742.599626,77.000000
742.614580,43.000000
742.629535,86.000000
742.644489,67.000000
742.659443,69.000000
742.674396,89.000000
742.689350,77.000000
742.704303,65.000000
742.719256,61.000000
742.734209,74.000000
742.749162,14.000000
742.764114,76.000000
742.779067,36.000000
742.794019,68.000000
742.808971,95.000000
742.823922,92.000000
742.838874,162.000000
742.853825,209.000000
742.868776,171.000000
742.883727,153.000000
742.898678,81.000000
742.913628,81.000000
742.928579,63.000000
742.943529,93.000000
742.958479,73.000000
742.973428,46.000000
742.988378,40.000000
743.003327,61.000000
743.018276,78.000000
743.033225,40.000000
743.048174,52.000000
743.063123,65.000000
743.078071,73.000000
743.093019,61.000000
743.107967,51.000000
743.122915,59.000000
743.137862,63.000000
743.152809,78.000000
743.167757,83.000000
743.182703,83.000000
743.197650,65.000000
743.212597,71.000000
743.227543,61.000000
743.242489,76.000000
743.257435,59.000000
743.272381,56.000000
743.287326,73.000000
743.302272,76.000000
743.317217,32.000000
743.332162,40.000000
743.347106,78.000000
743.362051,46.000000
743.376995,46.000000
743.391939,64.000000
743.406883,69.000000
743.421827,67.000000
743.436771,69.000000
743.451714,68.000000
743.466657,50.000000
743.481600,64.000000
743.496543,49.000000
743.511485,78.000000
743.526428,56.000000
743.541370,50.000000
743.556312,54.000000
743.571253,43.000000
743.586195,68.000000
743.601136,63.000000
743.616077,57.000000
743.631018,59.000000
743.645959,38.000000
743.660899,72.000000
743.675840,54.000000
743.690780,38.000000
743.705720,66.000000
743.720660,62.000000
743.735599,48.000000
743.750538,79.000000
743.765477,86.000000
743.780416,111.000000
743.795355,37.000000
743.810294,61.000000
743.825232,69.000000
743.840170,64.000000
743.855108,80.000000
743.870046,36.000000
743.884983,63.000000
743.899921,80.000000
743.914858,70.000000
743.929795,84.000000
743.944731,59.000000
743.959668,88.000000
743.974604,55.000000
743.989540,74.000000
744.004476,46.000000
744.019412,51.000000
744.034347,70.000000
744.049283,30.000000
744.064218,67.000000
744.079153,81.000000
744.094087,81.000000
744.109022,82.000000
744.123956,61.000000
744.138890,50.000000
744.153824,63.000000
744.168758,71.000000
744.183691,32.000000
744.198625,71.000000
744.213558,57.000000
744.228491,91.000000
744.243423,82.000000
744.258356,40.000000
744.273288,63.000000
744.288220,64.000000
744.303152,17.000000
744.318084,55.000000
744.333015,52.000000
744.347947,61.000000
744.362878,57.000000
744.377809,54.000000
744.392739,65.000000
744.407670,68.000000
744.422600,81.000000
744.437530,64.000000
744.452460,40.000000
744.467390,50.000000
744.482319,68.000000
744.497249,70.000000
744.512178,79.000000
744.527107,58.000000
744.542035,50.000000
744.556964,61.000000
744.571892,60.000000
744.586820,57.000000
744.601748,45.000000
744.616676,26.000000
744.631603,84.000000
744.646530,70.000000
744.661457,92.000000
744.676384,74.000000
744.691311,45.000000
744.706237,70.000000
744.721164,78.000000
744.736090,55.000000
744.751015,41.000000
744.765941,60.000000
744.780867,52.000000
744.795792,87.000000
744.810717,43.000000
744.825642,63.000000
744.840566,63.000000
744.855491,49.000000
744.870415,61.000000
744.885339,59.000000
744.900263,103.000000
744.915187,54.000000
744.930110,45.000000
744.945033,60.000000
744.959956,85.000000
744.974879,70.000000
744.989802,55.000000
745.004724,84.000000
745.019646,91.000000
745.034568,83.000000
745.049490,123.000000
745.064412,198.000000
745.079333,308.000000
745.094254,512.000000
745.109175,557.000000
745.124096,437.000000
745.139017,252.000000
745.153937,130.000000
745.168857,82.000000
745.183777,86.000000
745.198697,78.000000
745.213617,88.000000
745.228536,92.000000
745.243455,78.000000
745.258374,43.000000
745.273293,33.000000
745.288212,97.000000
745.303130,84.000000
745.318048,59.000000
745.332966,42.000000
745.347884,44.000000
745.362801,68.000000
745.377719,88.000000
745.392636,80.000000
745.407553,45.000000
745.422470,35.000000
745.437386,37.000000
745.452303,84.000000
745.467219,103.000000
745.482135,66.000000
745.497050,72.000000
745.511966,70.000000
745.526881,56.000000
745.541796,73.000000
745.556711,68.000000
745.571626,101.000000
745.586541,42.000000
745.601455,86.000000
745.616369,63.000000
745.631283,90.000000
745.646197,62.000000
745.661110,79.000000
745.676023,61.000000
745.690937,63.000000
745.705849,66.000000
745.720762,68.000000
745.735675,68.000000
745.750587,58.000000
745.765499,78.000000
745.780411,78.000000
745.795323,67.000000
745.810234,115.000000
745.825145,57.000000
745.840056,74.000000
745.854967,57.000000
745.869878,51.000000
745.884788,86.000000
745.899699,23.000000
745.914609,68.000000
745.929519,33.000000
745.944428,99.000000
745.959338,72.000000
745.974247,34.000000
745.989156,71.000000
746.004065,41.000000
746.018973,75.000000
746.033882,82.000000
746.048790,103.000000
746.063698,64.000000
746.078606,75.000000
746.093514,89.000000
746.108421,71.000000
746.123328,58.000000
746.138235,45.000000
746.153142,74.000000
746.168049,64.000000
746.182955,95.000000
746.197861,82.000000
746.212767,70.000000
746.227673,62.000000
746.242578,69.000000
746.257484,69.000000
746.272389,74.000000
746.287294,84.000000
746.302199,55.000000
746.317103,29.000000
746.332008,66.000000
746.346912,74.000000
746.361816,54.000000
746.376719,60.000000
746.391623,56.000000
746.406526,75.000000
746.421429,100.000000
746.436332,83.000000
746.451235,70.000000
746.466138,102.000000
746.481040,48.000000
746.495942,65.000000
746.510844,67.000000
746.525746,78.000000
746.540647,72.000000
746.555548,77.000000
746.570450,73.000000
746.585350,91.000000
746.600251,97.000000
746.615152,32.000000
746.630052,73.000000
746.644952,79.000000
746.659852,99.000000
746.674751,83.000000
746.689651,101.000000
746.704550,78.000000
746.719449,80.000000
746.734348,111.000000
746.749247,56.000000
746.764145,56.000000
746.779043,76.000000
746.793941,41.000000
746.808839,83.000000
746.823737,65.000000
746.838634,80.000000
746.853531,70.000000
746.868428,34.000000
746.883325,81.000000
746.898222,83.000000
746.913118,93.000000
746.928014,54.000000
746.942910,62.000000
746.957806,68.000000
746.972702,76.000000
746.987597,69.000000
747.002492,82.000000
747.017387,61.000000
747.032282,59.000000
747.047176,87.000000
747.062071,52.000000
747.076965,59.000000
747.091859,81.000000
747.106752,58.000000
747.121646,66.000000
747.136539,58.000000
747.151432,66.000000
747.166325,83.000000
747.181218,85.000000
747.196111,82.000000
747.211003,37.000000
747.225895,77.000000
747.240787,97.000000
747.255678,70.000000
747.270570,77.000000
747.285461,63.000000
747.300352,120.000000
747.315243,180.000000
747.330134,380.000000
747.345024,817.000000
747.359914,1141.000000
747.374804,1001.000000
747.389694,507.000000
747.404584,294.000000
747.419473,219.000000
747.434362,122.000000
747.449251,75.000000
747.464140,72.000000
747.479029,95.000000
747.493917,86.000000
747.508805,60.000000
747.523693,67.000000
747.538581,56.000000
747.553469,90.000000
747.568356,105.000000
747.583243,83.000000
747.598130,52.000000
747.613017,67.000000
747.627904,46.000000
747.642790,75.000000
747.657676,55.000000
747.672562,81.000000
747.687448,46.000000
747.702333,65.000000
747.717218,75.000000
747.732103,83.000000
747.746988,96.000000
747.761873,48.000000
747.776758,42.000000
747.791642,83.000000
747.806526,107.000000
747.821410,73.000000
747.836293,70.000000
747.851177,90.000000
747.866060,73.000000
747.880943,77.000000
747.895826,84.000000
747.910709,72.000000
747.925591,101.000000
747.940473,67.000000
747.955355,86.000000
747.970237,130.000000
747.985119,85.000000
748.000000,67.000000
748.014881,48.000000
748.029762,90.000000
748.044643,101.000000
748.059523,86.000000
748.074404,89.000000
748.089284,69.000000
748.104164,89.000000
748.119044,65.000000
748.133923,113.000000
748.148803,68.000000
748.163682,116.000000
748.178561,59.000000
748.193439,58.000000
748.208318,106.000000
748.223196,77.000000
748.238074,61.000000
748.252952,65.000000
748.267830,75.000000
748.282707,102.000000
748.297584,83.000000
748.312461,66.000000
748.327338,68.000000
748.342215,57.000000
748.357091,79.000000
748.371968,94.000000
748.386844,76.000000
748.401719,72.000000
748.416595,75.000000
748.431470,106.000000
748.446346,99.000000
748.461221,120.000000
748.476095,95.000000
748.490970,54.000000
748.505844,72.000000
748.520719,93.000000
748.535592,55.000000
748.550466,115.000000
748.565340,94.000000
748.580213,82.000000
748.595086,80.000000
748.609959,76.000000
748.624832,83.000000
748.639704,87.000000
748.654577,83.000000
748.669449,99.000000
748.684321,83.000000
748.699192,92.000000
748.714064,74.000000
748.728935,74.000000
748.743806,44.000000
748.758677,94.000000
748.773548,80.000000
748.788418,64.000000
748.803288,68.000000
748.818158,51.000000
748.833028,111.000000
748.847898,102.000000
748.862767,78.000000
748.877636,84.000000
748.892505,88.000000
748.907374,51.000000
748.922243,65.000000
748.937111,77.000000
748.951979,50.000000
748.966847,101.000000
748.981715,78.000000
748.996582,107.000000
749.011450,55.000000
749.026317,48.000000
749.041184,74.000000
749.056050,89.000000
749.070917,70.000000
749.085783,78.000000
749.100649,93.000000
749.115515,91.000000
749.130381,88.000000
749.145246,67.000000
749.160111,75.000000
749.174976,127.000000
749.189841,94.000000
749.204706,73.000000
749.219570,54.000000
749.234434,72.000000
749.249298,100.000000
749.264162,114.000000
749.279026,74.000000
749.293889,73.000000
749.308752,97.000000
749.323615,127.000000
749.338478,63.000000
749.353341,115.000000
749.368203,99.000000
749.383065,79.000000
749.397927,104.000000
749.412789,85.000000
749.427650,84.000000
749.442511,86.000000
749.457373,109.000000
749.472233,80.000000
749.487094,116.000000
749.501955,90.000000
749.516815,104.000000
749.531675,114.000000
749.546535,83.000000
749.561394,148.000000
749.576254,263.000000
749.591113,517.000000
749.605972,1430.000000
749.620831,3146.000000
749.635689,4584.000000
749.650548,3349.000000
749.665406,1433.000000
749.680264,578.000000
749.695122,249.000000
749.709979,140.000000
749.724836,97.000000
749.739694,95.000000
749.754550,76.000000
749.769407,66.000000
749.784264,76.000000
749.799120,78.000000
749.813976,63.000000
749.828832,68.000000
749.843688,104.000000
749.858543,103.000000
749.873398,94.000000
749.888253,75.000000
749.903108,97.000000
749.917963,107.000000
749.932817,81.000000
749.947671,94.000000
749.962525,40.000000
749.977379,75.000000
749.992233,68.000000
750.007086,97.000000
750.021939,62.000000
750.036792,91.000000
750.051645,123.000000
750.066497,68.000000
750.081350,116.000000
750.096202,68.000000
750.111054,66.000000
750.125905,70.000000
750.140757,71.000000
750.155608,81.000000
750.170459,78.000000
750.185310,91.000000
750.200161,62.000000
750.215011,107.000000
750.229861,78.000000
750.244711,87.000000
750.259561,75.000000
750.274411,95.000000
750.289260,59.000000
750.304109,64.000000
750.318958,64.000000
750.333807,67.000000
750.348656,76.000000
