#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.676447,4.953516
1.676413,2.828516
1.676379,4.641016
1.676345,0.703516
1.676311,-0.546484
1.676277,-0.796484
1.676243,1.391016
1.676209,4.266016
1.676175,1.766016
1.676141,2.078516
1.676107,0.391016
1.676073,-1.108984
1.676039,3.891016
1.676005,-0.733984
1.675971,-1.483984
1.675937,1.078516
1.675903,4.141016
1.675869,0.516016
1.675835,1.641016
1.675801,-2.421484
1.675767,1.141016
1.675733,-0.546484
1.675699,0.328516
1.675665,2.891016
1.675631,0.703516
1.675597,0.578516
1.675563,-2.983984
1.675529,-2.733984
1.675495,2.203516
1.675461,1.328516
1.675427,1.516016
1.675393,3.516016
1.675359,0.516016
1.675325,0.703516
1.675291,4.766016
1.675257,0.328516
1.675223,1.016016
1.675189,0.516016
1.675155,2.078516
1.675121,1.203516
1.675087,0.141016
1.675053,3.203516
1.675019,3.266016
1.674985,6.266016
1.674951,2.766016
1.674917,3.641016
1.674883,-0.108984
1.674849,4.641016
1.674815,3.203516
1.674781,-0.046484
1.674747,0.141016
1.674714,1.766016
1.674680,-0.608984
1.674646,2.203516
1.674612,-0.108984
1.674578,0.016016
1.674544,-1.046484
1.674510,0.078516
1.674476,-1.671484
1.674442,-0.171484
1.674408,4.766016
1.674374,0.391016
1.674340,-0.421484
1.674306,1.828516
1.674272,2.391016
1.674238,3.641016
1.674205,1.766016
1.674171,2.766016
1.674137,-1.233984
1.674103,0.328516
1.674069,-2.296484
1.674035,4.391016
1.674001,4.766016
1.673967,-1.233984
1.673933,0.016016
1.673899,4.078516
1.673865,-0.671484
1.673831,0.453516
1.673798,-0.233984
1.673764,-4.233984
1.673730,0.766016
1.673696,1.828516
1.673662,1.328516
1.673628,0.016016
1.673594,1.516016
1.673560,2.891016
1.673526,5.391016
1.673493,-3.546484
1.673459,1.641016
1.673425,0.078516
1.673391,2.141016
1.673357,3.016016
1.673323,1.641016
1.673289,1.078516
1.673255,0.203516
1.673222,0.078516
1.673188,1.516016
1.673154,3.828516
1.673120,-0.671484
1.673086,2.516016
1.673052,1.328516
1.673018,1.078516
1.672985,-0.671484
1.672951,1.453516
1.672917,1.141016
1.672883,4.141016
1.672849,-1.233984
1.672815,0.141016
1.672781,2.328516
1.672748,2.016016
1.672714,4.453516
1.672680,2.703516
1.672646,-0.108984
1.672612,-2.233984
1.672578,-0.358984
1.672545,1.328516
1.672511,-0.483984
1.672477,0.891016
1.672443,-0.671484
1.672409,-0.171484
1.672375,3.453516
1.672342,5.828516
1.672308,2.953516
1.672274,-0.796484
1.672240,-0.046484
1.672206,2.516016
1.672172,1.016016
1.672139,1.891016
1.672105,1.766016
1.672071,3.891016
1.672037,1.266016
1.672003,0.141016
1.671970,0.766016
1.671936,3.891016
1.671902,2.328516
1.671868,2.266016
1.671834,-0.421484
1.671801,0.266016
1.671767,-0.796484
1.671733,-0.233984
1.671699,-1.608984
1.671666,2.328516
1.671632,2.641016
1.671598,0.516016
1.671564,-0.858984
1.671530,1.391016
1.671497,-0.608984
1.671463,1.953516
1.671429,-0.796484
1.671395,-0.358984
1.671362,0.266016
1.671328,3.328516
1.671294,2.078516
1.671260,4.641016
1.671226,2.016016
1.671193,3.078516
1.671159,-0.171484
1.671125,0.203516
1.671091,-0.046484
1.671058,4.203516
1.671024,-1.858984
1.670990,-0.421484
1.670956,3.328516
1.670923,1.266016
1.670889,2.453516
1.670855,1.766016
1.670821,2.328516
1.670788,-0.983984
1.670754,1.766016
1.670720,-2.296484
1.670686,-0.171484
1.670653,-1.108984
1.670619,3.641016
1.670585,1.953516
1.670552,0.953516
1.670518,4.141016
1.670484,-0.358984
1.670450,1.891016
1.670417,1.578516
1.670383,0.141016
1.670349,0.141016
1.670316,5.391016
1.670282,0.891016
1.670248,4.328516
1.670214,1.766016
1.670181,-0.108984
1.670147,4.516016
1.670113,0.641016
1.670080,1.266016
1.670046,-2.108984
1.670012,1.891016
1.669978,-1.233984
1.669945,2.391016
1.669911,1.203516
1.669877,3.078516
1.669844,1.141016
1.669810,4.703516
1.669776,1.453516
1.669743,1.078516
1.669709,0.266016
1.669675,0.828516
1.669642,0.328516
1.669608,-1.483984
1.669574,4.391016
1.669541,5.016016
1.669507,0.641016
1.669473,2.078516
1.669440,0.828516
1.669406,1.453516
1.669372,0.391016
1.669339,2.641016
1.669305,2.141016
1.669271,0.016016
1.669238,0.203516
1.669204,1.891016
1.669170,-1.671484
1.669137,2.453516
1.669103,0.516016
1.669069,1.828516
1.669036,3.516016
1.669002,0.953516
1.668968,2.828516
1.668935,1.891016
1.668901,1.578516
1.668867,-2.233984
1.668834,4.203516
1.668800,-0.483984
1.668767,0.578516
1.668733,1.391016
1.668699,-0.358984
1.668666,2.766016
1.668632,1.641016
1.668598,2.578516
1.668565,0.391016
1.668531,2.703516
1.668498,2.203516
1.668464,-0.858984
1.668430,2.141016
1.668397,5.766016
1.668363,1.516016
1.668330,1.953516
1.668296,3.641016
1.668262,2.953516
1.668229,2.766016
1.668195,3.578516
1.668162,2.391016
1.668128,2.641016
1.668094,-0.671484
1.668061,3.141016
