#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Amplitude,error,Center energy,error,Linewidth,error,Constant offseterror,
arb. u,,eV,,eV,,arb. u.,
4.152099,1.561944,1.674986,0.000020,0.000045,0.000020,839.271009,716.702620
27.942494,31308579.483466,1.673542,0.795742,0.000008,2.039659,326.142391,747.285035
5.080133,1.571407,1.672344,0.000010,0.000024,0.000008,-762.095281,572.494811
2.749557,1.405707,1.671263,0.000026,0.000044,0.000026,261.554233,636.641391
1.897500,1.590686,1.670280,0.000040,0.000042,0.000041,-72.375025,705.826785
27.920481,15578703.636525,1.669557,0.098721,0.000008,1.079079,-377.211753,620.939969
1.749264,0.950824,1.668290,0.000063,0.000102,0.000067,352.011397,661.499004
2.480892,1.907774,1.667288,0.000025,0.000026,0.000022,327.556143,709.348415
21.338260,23286238.525815,1.663727,0.904454,0.000008,2.049372,-630.664859,823.949317
2.055596,1.320465,1.663200,0.000043,0.000059,0.000045,-370.048186,703.136914
3.669721,nan,1.661710,nan,0.000003,nan,512.002516,0.000000
6.130545,inf,1.659287,inf,0.000004,inf,-331.588500,inf
1.232802,1.023579,1.658553,0.000099,0.000105,0.000105,-745.525596,733.408668
26.244996,11693219.222392,1.657422,0.618838,0.000008,0.801918,1236.198731,663.292528
41.570216,3732276.016464,1.655966,0.048408,0.000008,0.192101,537.101785,623.096371
11.693404,inf,1.652338,inf,0.000003,inf,2296.664605,inf
49.480108,29096541.500716,1.649960,1.789859,0.000007,0.921731,120.625733,1352.591183
182.966745,6.446774,1.632696,0.000001,0.000035,0.000001,17399.925019,2820.795710
781.044406,10.335910,1.630211,0.000001,0.000034,0.000001,28883.587277,4442.052271
2365.898358,28.420152,1.627736,0.000000,0.000031,0.000000,-144083.639804,11721.096596
312.005762,4.676965,1.625257,0.000000,0.000028,0.000000,11074.369340,1823.090232
