#half-wave plate set to 45
#{"CCD_temperature": "-81", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "checkingPolarization36"], "bg_file_name": "checkingPolarizationBG23", "center_lambda": 769.0, "dark_region": null, "exposure": 40.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["checkingPolarizationBG23"], "y_max": 400, "y_min": 0}
#Wavelength,Signal
#nm,arb. u.
757.156343,-11.000000
757.171246,38.000000
757.186149,3.000000
757.201051,-55.000000
757.215953,-31.000000
757.230855,45.000000
757.245757,46.000000
757.260659,3.000000
757.275560,-1.000000
757.290462,4.000000
757.305363,44.000000
757.320264,-10.000000
757.335164,-1.000000
757.350065,-29.000000
757.364965,-18.000000
757.379865,-24.000000
757.394765,-51.000000
757.409665,-82.000000
757.424565,16.000000
757.439464,55.000000
757.454363,-1.000000
757.469262,-18.000000
757.484161,-42.000000
757.499059,-53.000000
757.513958,-9.000000
757.528856,115.000000
757.543754,5.000000
757.558652,182.000000
757.573549,91.000000
757.588446,66.000000
757.603344,-38.000000
757.618241,-36.000000
757.633137,59.000000
757.648034,5.000000
757.662931,-42.000000
757.677827,-57.000000
757.692723,36.000000
757.707619,44.000000
757.722514,35.000000
757.737410,-32.000000
757.752305,4.000000
757.767200,110.000000
757.782095,-23.000000
757.796989,79.000000
757.811884,3.000000
757.826778,14.000000
757.841672,42.000000
757.856566,-1.000000
757.871460,-18.000000
757.886353,-83.000000
757.901247,55.000000
757.916140,-12.000000
757.931033,13.000000
757.945925,-2.000000
757.960818,25.000000
757.975710,15.000000
757.990602,83.000000
758.005494,-15.000000
758.020386,-43.000000
758.035277,-1.000000
758.050169,17.000000
758.065060,18.000000
758.079951,-96.000000
758.094842,30.000000
758.109732,85.000000
758.124622,-17.000000
758.139513,-25.000000
758.154403,-53.000000
758.169292,-37.000000
758.184182,23.000000
758.199071,14.000000
758.213961,-40.000000
758.228849,3.000000
758.243738,31.000000
758.258627,75.000000
758.273515,-12.000000
758.288403,-91.000000
758.303291,25.000000
758.318179,18.000000
758.333067,-36.000000
758.347954,-54.000000
758.362842,58.000000
758.377729,35.000000
758.392615,41.000000
758.407502,-15.000000
758.422388,-18.000000
758.437275,65.000000
758.452161,7.000000
758.467047,11.000000
758.481932,-29.000000
758.496818,-36.000000
758.511703,40.000000
758.526588,23.000000
758.541473,-10.000000
758.556358,-43.000000
758.571242,32.000000
758.586126,31.000000
758.601010,3.000000
758.615894,-13.000000
758.630778,60.000000
758.645662,0.000000
758.660545,59.000000
758.675428,-25.000000
758.690311,-54.000000
758.705194,59.000000
758.720076,65.000000
758.734958,-42.000000
758.749841,-14.000000
758.764722,10.000000
758.779604,-32.000000
758.794486,64.000000
758.809367,1.000000
758.824248,51.000000
758.839129,-15.000000
758.854010,-18.000000
758.868890,17.000000
758.883771,-60.000000
758.898651,-22.000000
758.913531,33.000000
758.928411,-7.000000
758.943290,-15.000000
758.958170,42.000000
758.973049,21.000000
758.987928,19.000000
759.002806,47.000000
759.017685,-37.000000
759.032563,36.000000
759.047442,21.000000
759.062320,23.000000
759.077197,-15.000000
759.092075,-50.000000
759.106952,35.000000
759.121830,6.000000
759.136707,-1.000000
759.151583,-12.000000
759.166460,7.000000
759.181336,35.000000
759.196213,24.000000
759.211089,-20.000000
759.225964,-43.000000
759.240840,-46.000000
759.255716,12.000000
759.270591,-19.000000
759.285466,-47.000000
759.300341,47.000000
759.315215,27.000000
759.330090,15.000000
759.344964,14.000000
759.359838,-15.000000
759.374712,21.000000
759.389585,86.000000
759.404459,18.000000
759.419332,7.000000
759.434205,-11.000000
759.449078,34.000000
759.463951,54.000000
759.478823,-52.000000
759.493696,9.000000
759.508568,10.000000
759.523439,57.000000
759.538311,-58.000000
759.553183,-6.000000
759.568054,-28.000000
759.582925,63.000000
759.597796,59.000000
759.612667,6.000000
759.627537,-13.000000
759.642407,-11.000000
759.657277,8.000000
759.672147,2.000000
759.687017,20.000000
759.701886,24.000000
759.716756,-2.000000
759.731625,32.000000
759.746494,24.000000
759.761363,18.000000
759.776231,47.000000
759.791099,84.000000
759.805967,-13.000000
759.820835,-26.000000
759.835703,-23.000000
759.850571,3.000000
759.865438,55.000000
759.880305,70.000000
759.895172,284.000000
759.910039,244.000000
759.924905,200.000000
759.939772,34.000000
759.954638,47.000000
759.969504,-9.000000
759.984369,56.000000
759.999235,83.000000
760.014100,3.000000
760.028965,6.000000
760.043830,2.000000
760.058695,7.000000
760.073560,14.000000
760.088424,-75.000000
760.103288,-22.000000
760.118152,43.000000
760.133016,45.000000
760.147879,-83.000000
760.162743,-39.000000
760.177606,42.000000
760.192469,8.000000
760.207332,14.000000
760.222194,-34.000000
760.237057,-19.000000
760.251919,87.000000
760.266781,21.000000
760.281642,-22.000000
760.296504,-23.000000
760.311365,-35.000000
760.326227,46.000000
760.341087,47.000000
760.355948,-5.000000
760.370809,-43.000000
760.385669,32.000000
760.400529,44.000000
760.415389,47.000000
760.430249,-11.000000
760.445109,-8.000000
760.459968,79.000000
760.474827,-17.000000
760.489686,-42.000000
760.504545,-29.000000
760.519404,21.000000
760.534262,103.000000
760.549120,-20.000000
760.563978,-72.000000
760.578836,10.000000
760.593694,102.000000
760.608551,28.000000
760.623408,-42.000000
760.638265,-40.000000
760.653122,50.000000
760.667979,21.000000
760.682835,21.000000
760.697691,4.000000
760.712547,56.000000
760.727403,38.000000
760.742259,68.000000
760.757114,-25.000000
760.771969,73.000000
760.786824,60.000000
760.801679,8.000000
760.816534,63.000000
760.831388,-29.000000
760.846242,39.000000
760.861096,24.000000
760.875950,-38.000000
760.890804,7.000000
760.905657,-2.000000
760.920510,38.000000
760.935363,16.000000
760.950216,43.000000
760.965069,-29.000000
760.979921,-39.000000
760.994773,35.000000
761.009625,-2.000000
761.024477,-4.000000
761.039329,-14.000000
761.054180,16.000000
761.069031,33.000000
761.083882,17.000000
761.098733,-17.000000
761.113584,32.000000
761.128434,59.000000
761.143284,39.000000
761.158134,-13.000000
761.172984,71.000000
761.187834,6.000000
761.202683,33.000000
761.217532,-30.000000
761.232381,-58.000000
761.247230,2.000000
761.262079,40.000000
761.276927,-39.000000
761.291775,-26.000000
761.306623,18.000000
761.321471,-16.000000
761.336319,13.000000
761.351166,33.000000
761.366013,53.000000
761.380860,69.000000
761.395707,61.000000
761.410554,-34.000000
761.425400,31.000000
761.440246,14.000000
761.455092,-18.000000
761.469938,16.000000
761.484784,16.000000
761.499629,-53.000000
761.514474,1.000000
761.529319,43.000000
761.544164,15.000000
761.559009,-59.000000
761.573853,-5.000000
761.588697,12.000000
761.603541,38.000000
761.618385,41.000000
761.633229,-18.000000
761.648072,15.000000
761.662915,51.000000
761.677758,71.000000
761.692601,-24.000000
761.707444,-74.000000
761.722286,16.000000
761.737128,18.000000
761.751970,16.000000
761.766812,45.000000
761.781654,-51.000000
761.796495,71.000000
761.811336,4.000000
761.826177,48.000000
761.841018,-17.000000
761.855859,58.000000
761.870699,36.000000
761.885539,-22.000000
761.900379,-31.000000
761.915219,-3.000000
761.930059,59.000000
761.944898,1.000000
761.959737,7.000000
761.974576,-1.000000
761.989415,23.000000
762.004254,19.000000
762.019092,21.000000
762.033930,-18.000000
762.048768,0.000000
762.063606,32.000000
762.078444,56.000000
762.093281,-70.000000
762.108118,9.000000
762.122955,59.000000
762.137792,28.000000
762.152628,22.000000
762.167465,12.000000
762.182301,28.000000
