#monitor on
#{"CCD_temperature": "-81", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "holeCoupler47"], "bg_file_name": "holeCouplerBG29", "center_lambda": 769.0, "dark_region": null, "exposure": 40.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["holeCouplerBG28"], "y_max": 400, "y_min": 0}
#Wavelength,Signal
#nm,arb. u.
757.156343,53.000000
757.171246,3.000000
757.186149,3.000000
757.201051,59.000000
757.215953,20.000000
757.230855,2.000000
757.245757,-38.000000
757.260659,-16.000000
757.275560,-24.000000
757.290462,-67.000000
757.305363,17.000000
757.320264,15.000000
757.335164,70.000000
757.350065,39.000000
757.364965,-9.000000
757.379865,38.000000
757.394765,33.000000
757.409665,5.000000
757.424565,2.000000
757.439464,31.000000
757.454363,23.000000
757.469262,82.000000
757.484161,55.000000
757.499059,14.000000
757.513958,27.000000
757.528856,-8.000000
757.543754,21.000000
757.558652,-2.000000
757.573549,21.000000
757.588446,-12.000000
757.603344,-20.000000
757.618241,-22.000000
757.633137,-20.000000
757.648034,27.000000
757.662931,77.000000
757.677827,-17.000000
757.692723,57.000000
757.707619,-34.000000
757.722514,68.000000
757.737410,17.000000
757.752305,8.000000
757.767200,-1.000000
757.782095,33.000000
757.796989,71.000000
757.811884,52.000000
757.826778,-16.000000
757.841672,0.000000
757.856566,38.000000
757.871460,21.000000
757.886353,15.000000
757.901247,71.000000
757.916140,18.000000
757.931033,5.000000
757.945925,22.000000
757.960818,59.000000
757.975710,10.000000
757.990602,6.000000
758.005494,-32.000000
758.020386,46.000000
758.035277,31.000000
758.050169,31.000000
758.065060,63.000000
758.079951,-3.000000
758.094842,57.000000
758.109732,31.000000
758.124622,88.000000
758.139513,-23.000000
758.154403,75.000000
758.169292,-21.000000
758.184182,6.000000
758.199071,49.000000
758.213961,30.000000
758.228849,24.000000
758.243738,-36.000000
758.258627,-44.000000
758.273515,42.000000
758.288403,-8.000000
758.303291,62.000000
758.318179,-4.000000
758.333067,-37.000000
758.347954,-6.000000
758.362842,34.000000
758.377729,27.000000
758.392615,-4.000000
758.407502,4.000000
758.422388,-2.000000
758.437275,69.000000
