#monitor on
#{"CCD_temperature": "-89", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "longExposures42"], "bg_file_name": "longExposuresBG27", "center_lambda": 750.5, "dark_region": null, "exposure": 200.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["longExposuresBG26"], "y_max": 400, "y_min": 0}
Wavelength,Signal
nm,arb. u.
738.558773,-899.000000
738.573796,-842.000000
738.588820,-881.000000
738.603843,-746.000000
738.618865,-768.000000
738.633888,-876.000000
738.648910,-856.000000
738.663932,-803.000000
738.678954,-900.000000
738.693976,-894.000000
738.708998,-911.000000
738.724019,-846.000000
738.739041,-803.000000
738.754062,-885.000000
738.769082,-806.000000
738.784103,-871.000000
738.799124,-892.000000
738.814144,-873.000000
738.829164,-741.000000
738.844184,-919.000000
738.859204,-815.000000
738.874223,-720.000000
738.889242,-844.000000
738.904262,-837.000000
738.919280,-820.000000
738.934299,-784.000000
738.949318,-891.000000
738.964336,-875.000000
738.979354,-772.000000
738.994372,-850.000000
739.009390,-845.000000
739.024408,-703.000000
739.039425,-648.000000
739.054442,-857.000000
739.069459,-801.000000
739.084476,-826.000000
739.099493,-1010.000000
739.114509,-825.000000
739.129526,-833.000000
739.144542,-766.000000
739.159558,-889.000000
739.174573,-976.000000
739.189589,-887.000000
739.204604,-777.000000
739.219619,-685.000000
739.234634,-854.000000
739.249649,-837.000000
739.264664,-929.000000
739.279678,-870.000000
739.294692,-772.000000
739.309706,-783.000000
739.324720,-724.000000
739.339734,-727.000000
739.354747,-841.000000
739.369760,-704.000000
739.384773,-894.000000
739.399786,-860.000000
739.414799,-825.000000
739.429811,-937.000000
739.444823,-779.000000
739.459835,-791.000000
739.474847,-799.000000
739.489859,-880.000000
739.504871,-771.000000
739.519882,-817.000000
739.534893,-822.000000
739.549904,-790.000000
739.564915,-912.000000
739.579925,-903.000000
739.594935,-885.000000
739.609946,-815.000000
739.624956,-984.000000
739.639965,-865.000000
739.654975,-882.000000
739.669984,-761.000000
739.684994,-794.000000
739.700003,-883.000000
739.715011,-801.000000
739.730020,-772.000000
739.745028,-953.000000
739.760037,-755.000000
739.775045,-749.000000
739.790053,-823.000000
739.805060,-729.000000
739.820068,-899.000000
739.835075,-764.000000
739.850082,-807.000000
739.865089,-898.000000
739.880096,-813.000000
739.895102,-700.000000
739.910108,-892.000000
739.925115,-943.000000
739.940121,-761.000000
739.955126,-716.000000
739.970132,-908.000000
739.985137,-825.000000
740.000142,-827.000000
740.015147,-765.000000
740.030152,-863.000000
740.045157,-875.000000
740.060161,-773.000000
740.075165,-740.000000
740.090169,-841.000000
740.105173,-769.000000
740.120177,-819.000000
740.135180,-749.000000
740.150183,-841.000000
740.165186,-815.000000
740.180189,-812.000000
740.195192,-814.000000
740.210194,-787.000000
740.225197,-904.000000
740.240199,-768.000000
740.255201,-682.000000
740.270202,-387.000000
740.285204,4492.000000
740.300205,25134.000000
740.315206,2403.000000
740.330207,-686.000000
740.345208,-901.000000
740.360209,-787.000000
740.375209,-904.000000
740.390209,-809.000000
740.405209,-840.000000
740.420209,-874.000000
740.435208,-818.000000
740.450208,-875.000000
740.465207,-971.000000
740.480206,-856.000000
740.495205,-842.000000
740.510203,-772.000000
740.525202,-917.000000
740.540200,-807.000000
740.555198,-782.000000
740.570196,-858.000000
740.585194,-898.000000
740.600191,-923.000000
740.615188,-803.000000
740.630185,-886.000000
740.645182,-866.000000
740.660179,-805.000000
740.675175,-707.000000
740.690172,-866.000000
740.705168,-956.000000
740.720164,-868.000000
740.735159,-781.000000
